pipeline_name,label_view,candidate_n,matched_n,evaluable_n,stable_n,stable_yield,source_uncertain_fraction,unmatched_fraction
CHGNet_screened_public_hull_top5000,alex_pbe_native,5000,4291,4291,1413,0.32929387089256584,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,alexmp20_native,5000,4291,4291,1561,0.3637846655791191,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,all_source_native,5000,4291,3522,1197,0.33986371379897784,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,audit_view,5000,4291,4291,1114,0.2596131437893265,0.33442088091353994,0.14180000000000004
CHGNet_screened_public_hull_top5000,common_pool,5000,4291,3735,1960,0.5247657295850067,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,consensus,5000,4291,2856,1114,0.3900560224089636,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,mp_native,5000,4291,4291,1743,0.4061990212071778,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,source_union,5000,4291,0,0,,,0.14180000000000004
CHGNet_screened_public_hull_top5000,uncertain,5000,4291,4291,1435,0.33442088091353994,0.33442088091353994,0.14180000000000004
MatterGen_hf_base_smoke_unconditional,alex_pbe_native,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,alexmp20_native,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,all_source_native,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,audit_view,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,common_pool,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,consensus,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,mp_native,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,source_union,2,0,0,0,,,1.0
MatterGen_hf_base_smoke_unconditional,uncertain,2,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,alex_pbe_native,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,alexmp20_native,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,all_source_native,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,audit_view,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,common_pool,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,consensus,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,mp_native,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,source_union,3000,0,0,0,,,1.0
PGCGM_public_safe_generated_pool,uncertain,3000,0,0,0,,,1.0
alignn_ff_screened_sourceaware_top5000,alex_pbe_native,5000,5000,5000,1447,0.2894,0.0,0.0
alignn_ff_screened_sourceaware_top5000,alexmp20_native,5000,5000,5000,1483,0.2966,0.0,0.0
alignn_ff_screened_sourceaware_top5000,all_source_native,5000,5000,4237,1181,0.2787349539768704,0.0,0.0
alignn_ff_screened_sourceaware_top5000,audit_view,5000,5000,5000,1132,0.2264,0.3124,0.0
alignn_ff_screened_sourceaware_top5000,common_pool,5000,5000,4418,2089,0.4728383884110457,0.0,0.0
alignn_ff_screened_sourceaware_top5000,consensus,5000,5000,3438,1132,0.32926119837114604,0.0,0.0
alignn_ff_screened_sourceaware_top5000,mp_native,5000,5000,5000,1695,0.339,0.0,0.0
alignn_ff_screened_sourceaware_top5000,source_union,5000,5000,0,0,,,0.0
alignn_ff_screened_sourceaware_top5000,uncertain,5000,5000,5000,1562,0.3124,0.3124,0.0
