pipeline_name,label_view,K,K_effective,evaluable_n,stable_yield,uncertain_fraction,unmatched_fraction
CHGNet_screened_public_hull_top5000,alex_pbe_native,100,100,69,0.34782608695652173,0.0,0.31000000000000005
CHGNet_screened_public_hull_top5000,alex_pbe_native,300,300,251,0.33067729083665337,0.0,0.16333333333333333
CHGNet_screened_public_hull_top5000,alex_pbe_native,500,500,433,0.3695150115473441,0.0,0.134
CHGNet_screened_public_hull_top5000,alex_pbe_native,1000,1000,884,0.39592760180995473,0.0,0.11599999999999999
CHGNet_screened_public_hull_top5000,alex_pbe_native,5000,5000,4291,0.32929387089256584,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,alex_pbe_native,10000,5000,4291,0.32929387089256584,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,alexmp20_native,100,100,69,0.391304347826087,0.0,0.31000000000000005
CHGNet_screened_public_hull_top5000,alexmp20_native,300,300,251,0.4063745019920319,0.0,0.16333333333333333
CHGNet_screened_public_hull_top5000,alexmp20_native,500,500,433,0.4387990762124711,0.0,0.134
CHGNet_screened_public_hull_top5000,alexmp20_native,1000,1000,884,0.43665158371040724,0.0,0.11599999999999999
CHGNet_screened_public_hull_top5000,alexmp20_native,5000,5000,4291,0.3637846655791191,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,alexmp20_native,10000,5000,4291,0.3637846655791191,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,all_source_native,100,100,46,0.2826086956521739,0.0,0.31000000000000005
CHGNet_screened_public_hull_top5000,all_source_native,300,300,185,0.31351351351351353,0.0,0.16333333333333333
CHGNet_screened_public_hull_top5000,all_source_native,500,500,329,0.3768996960486322,0.0,0.134
CHGNet_screened_public_hull_top5000,all_source_native,1000,1000,680,0.41323529411764703,0.0,0.11599999999999999
CHGNet_screened_public_hull_top5000,all_source_native,5000,5000,3522,0.33986371379897784,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,all_source_native,10000,5000,3522,0.33986371379897784,0.0,0.14180000000000004
CHGNet_screened_public_hull_top5000,audit_view,100,100,69,0.18840579710144928,0.4927536231884058,0.31000000000000005
CHGNet_screened_public_hull_top5000,audit_view,300,300,251,0.22310756972111553,0.35856573705179284,0.16333333333333333
